customer_id,signup_month,age,tenure_months,region,channel,plan,sessions_week,avg_session_min,notif_click_rate,support_tickets_3m,discount_pct_3m,late_payments_6m,auto_renew,churn
C100000,10,71,49,South,web,Basic,4,10.11,0.318,0,0.138,0,1,0
C100001,22,53,44,West,store,Basic,3,6.55,0.329,0,0.0,0,0,0
C100002,10,56,51,South,web,Basic,6,12.1,0.12,0,0.001,1,1,0
C100003,22,69,48,Center,app,Basic,5,11.01,0.237,0,0.041,0,1,0
C100004,20,50,7,South,app,Basic,7,12.97,0.145,0,0.183,0,1,0
C100005,14,62,44,Center,app,Basic,2,11.91,0.337,0,0.038,1,0,0
C100006,23,65,15,South,app,Basic,4,8.73,0.126,0,0.046,0,1,1
C100007,13,30,19,North,app,Basic,7,9.74,0.058,1,0.138,0,0,0
C100008,9,21,57,South,web,Plus,10,6.22,0.04,0,0.308,0,0,0
C100009,21,35,27,Center,web,Basic,8,13.84,0.193,0,0.156,0,0,0
C100010,2,34,56,South,web,Plus,6,15.24,0.244,0,0.129,0,1,0
C100011,20,67,60,South,app,Basic,4,10.86,0.128,0,0.088,0,0,0
C100012,4,70,18,South,app,Plus,4,9.63,0.078,0,0.0,1,0,0
C100013,21,18,68,East,web,Premium,9,20.41,0.442,0,0.146,0,1,0
C100014,5,46,32,North,web,Basic,1,10.78,0.157,1,0.0,0,1,0
C100015,7,64,13,East,web,Basic,2,15.93,0.301,0,0.0,0,1,0
C100016,14,25,21,South,store,Basic,2,8.91,0.089,0,0.062,2,0,0
C100017,13,63,1,East,app,Premium,8,11.04,0.052,0,0.188,0,1,0
C100018,14,24,13,Center,app,Basic,6,7.93,0.305,0,0.03,0,1,0
C100019,19,44,69,North,app,Basic,6,11.79,0.161,0,0.118,0,0,0
C100020,19,64,11,West,app,Plus,5,10.34,0.115,0,0.145,1,0,1
C100021,3,35,62,East,app,Basic,8,12.57,0.078,0,0.197,0,0,0
C100022,20,37,47,West,web,Plus,4,13.19,0.159,1,0.117,0,0,1
C100023,19,33,44,Center,web,Plus,8,7.91,0.128,0,0.061,0,1,1
C100024,15,59,63,West,web,Premium,5,19.79,0.338,0,0.152,0,0,0
C100025,22,32,59,West,store,Plus,4,9.03,0.21,0,0.071,0,0,0
C100026,2,74,37,South,web,Plus,7,13.34,0.255,1,0.162,1,0,0
C100027,1,43,43,West,store,Basic,3,15.97,0.157,1,0.119,0,0,0
C100028,4,45,71,East,web,Basic,8,14.28,0.0,2,0.156,0,0,0
C100029,6,46,65,North,web,Basic,4,9.84,0.233,0,0.023,0,0,0
C100030,10,51,24,North,web,Basic,3,9.54,0.289,1,0.146,0,1,0
C100031,7,49,18,Center,app,Basic,5,10.51,0.104,0,0.15,0,1,0
C100032,3,47,3,South,app,Basic,3,1.48,0.247,0,0.065,1,0,0
C100033,7,74,32,South,web,Basic,2,15.23,0.06,0,0.0,0,1,0
C100034,24,64,45,South,web,Basic,5,18.01,0.37,0,0.0,0,1,1
C100035,18,63,48,West,app,Basic,2,16.58,0.231,0,0.0,1,1,0
C100036,18,57,71,East,web,Premium,6,20.08,0.514,3,0.138,0,0,0
C100037,10,53,16,North,web,Basic,7,9.34,0.309,1,0.087,0,0,0
C100038,16,37,36,Center,app,Basic,4,12.22,0.1,1,0.103,0,0,1
C100039,1,74,51,West,web,Plus,2,12.45,0.084,0,0.164,0,0,0
C100040,9,44,7,East,app,Plus,3,14.62,0.072,0,0.067,1,0,1
C100041,1,30,19,North,store,Plus,4,10.72,0.333,0,0.0,0,1,0
C100042,7,66,53,South,store,Basic,6,3.86,0.037,2,0.162,1,0,0
C100043,17,27,51,North,app,Plus,7,13.88,0.188,0,0.0,1,0,0
C100044,13,66,15,South,app,Basic,8,18.86,0.146,2,0.0,0,0,1
C100045,19,52,58,West,web,Plus,6,6.63,0.087,1,0.183,0,1,0
C100046,16,24,63,North,app,Basic,5,4.51,0.19,0,0.0,0,0,0
C100047,1,20,31,East,web,Premium,5,13.63,0.156,0,0.0,1,1,0
C100048,20,43,24,Center,web,Basic,11,7.16,0.349,1,0.05,0,0,0
C100049,11,20,71,West,store,Basic,7,12.78,0.238,1,0.014,0,0,0
C100050,16,26,19,West,app,Premium,4,13.49,0.4,0,0.086,0,0,1
C100051,3,47,45,North,web,Basic,6,9.18,0.299,1,0.065,0,0,1
C100052,5,73,26,South,web,Premium,3,7.5,0.124,0,0.0,1,1,0
C100053,10,44,54,West,web,Premium,5,12.51,0.165,0,0.189,0,0,1
C100054,9,64,45,Center,store,Plus,5,9.22,0.011,1,0.119,2,1,0
C100055,15,70,2,East,app,Basic,3,13.57,0.148,1,0.083,0,1,1
C100056,18,64,4,Center,app,Basic,1,13.2,0.0,2,0.0,1,1,1
C100057,11,53,9,North,web,Basic,4,16.11,0.087,0,0.215,0,1,1
C100058,1,43,71,Center,app,Plus,7,14.24,0.196,0,0.062,0,0,0
C100059,2,47,51,Center,web,Basic,7,14.5,0.209,0,0.253,0,1,0
C100060,11,33,24,West,store,Plus,4,3.83,0.236,0,0.31,0,1,0
C100061,15,46,67,Center,web,Basic,7,9.13,0.145,0,0.228,1,1,0
C100062,15,39,22,Center,web,Plus,6,21.23,0.142,1,0.284,0,1,1
C100063,19,32,45,Center,app,Plus,12,13.94,0.235,0,0.038,0,1,0
C100064,17,74,35,East,store,Plus,2,9.19,0.3,0,0.0,1,0,0
C100065,16,18,65,West,app,Plus,4,10.72,0.212,0,0.074,0,1,0
C100066,17,23,35,South,app,Basic,6,19.44,0.397,0,0.22,0,0,0
C100067,12,28,5,West,app,Plus,8,14.46,0.118,1,0.144,0,1,1
C100068,15,73,29,North,app,Premium,4,12.99,0.329,0,0.0,0,1,0
C100069,9,57,64,South,app,Premium,5,10.93,0.235,0,0.19,1,1,0
C100070,8,68,29,North,web,Premium,10,11.46,0.287,0,0.097,0,1,0
C100071,17,29,63,West,app,Basic,7,19.86,0.401,0,0.114,1,0,0
C100072,5,59,3,South,app,Basic,4,6.79,0.203,0,0.046,0,0,1
C100073,19,39,45,North,web,Basic,3,13.35,0.147,0,0.095,0,1,0
C100074,23,45,11,West,app,Basic,3,4.03,0.189,0,0.0,0,1,0
C100075,20,18,31,South,app,Plus,9,17.43,0.127,0,0.006,1,1,1
C100076,6,53,39,Center,web,Basic,5,14.04,0.0,0,0.2,0,0,0
C100077,22,65,51,North,web,Plus,5,14.71,0.009,1,0.219,0,1,0
C100078,8,55,52,West,web,Basic,6,7.64,0.197,0,0.0,0,0,0
C100079,1,26,18,South,web,Plus,5,8.13,0.057,1,0.008,1,1,0
C100080,1,48,50,West,app,Basic,4,14.09,0.261,0,0.13,0,1,0
C100081,4,33,48,North,app,Basic,8,12.09,0.177,2,0.093,0,0,0
C100082,8,72,2,South,web,Plus,6,13.11,0.191,1,0.286,0,0,0
C100083,23,68,50,Center,web,Plus,5,10.59,0.426,0,0.069,0,1,0
C100084,24,28,67,South,web,Basic,8,10.5,0.14,1,0.0,1,0,0
C100085,5,47,39,South,store,Basic,5,9.49,0.315,0,0.0,0,0,0
C100086,21,71,14,East,web,Basic,3,6.93,0.269,0,0.233,0,0,0
C100087,15,66,19,West,web,Premium,11,9.66,0.275,0,0.093,2,1,0
C100088,5,58,55,North,store,Basic,5,4.0,0.055,1,0.092,0,0,0
C100089,14,54,1,West,app,Plus,8,14.8,0.096,2,0.0,0,1,0
C100090,22,20,12,North,app,Plus,6,12.3,0.126,0,0.036,0,0,1
C100091,14,60,14,North,store,Premium,6,15.01,0.051,1,0.134,0,0,0
C100092,13,44,17,Center,app,Premium,5,11.96,0.045,1,0.065,0,1,0
C100093,6,23,60,Center,app,Basic,2,3.22,0.186,0,0.137,0,1,1
C100094,9,31,9,East,app,Basic,8,15.1,0.254,1,0.0,0,1,1
C100095,4,48,16,South,web,Premium,3,16.74,0.256,1,0.112,0,0,0
C100096,18,59,63,Center,app,Plus,8,7.42,0.405,0,0.216,1,1,0
C100097,21,46,6,East,app,Plus,9,6.66,0.109,0,0.18,1,1,0
C100098,1,52,22,West,app,Premium,2,17.59,0.171,0,0.069,0,1,0
C100099,19,67,18,South,app,Premium,3,9.2,0.04,0,0.051,0,0,0
C100100,5,57,57,South,app,Basic,3,11.94,0.248,1,0.0,0,1,0
C100101,20,38,37,West,store,Plus,5,7.27,0.216,0,0.125,0,0,0
C100102,15,54,11,Center,app,Basic,4,12.9,0.223,0,0.0,0,0,1
C100103,11,52,42,West,app,Premium,6,10.12,0.308,0,0.187,0,0,0
C100104,5,24,65,North,web,Basic,4,17.67,0.082,0,0.163,0,0,0
C100105,23,21,63,North,web,Basic,8,13.36,0.0,2,0.159,1,0,0
C100106,6,55,66,East,web,Plus,5,1.93,0.462,1,0.29,0,0,0
C100107,11,40,61,North,app,Basic,5,6.73,0.056,0,0.282,0,0,0
C100108,18,52,62,Center,app,Basic,4,13.09,0.113,1,0.204,0,0,0
C100109,18,36,69,South,app,Basic,3,12.86,0.024,0,0.088,0,0,0
C100110,1,30,44,North,web,Basic,8,6.07,0.106,0,0.0,0,0,0
C100111,6,26,63,Center,app,Plus,5,11.63,0.0,0,0.151,1,0,0
C100112,17,39,23,Center,app,Basic,4,16.01,0.185,0,0.049,0,1,0
C100113,9,64,32,North,web,Plus,7,13.99,0.148,0,0.025,2,0,0
C100114,8,40,24,South,web,Premium,7,7.13,0.056,0,0.021,0,1,0
C100115,13,39,11,Center,app,Premium,4,13.86,0.077,1,0.121,0,0,0
C100116,12,50,5,North,app,Basic,10,16.23,0.277,0,0.238,0,1,0
